FID,farm_id,size_ha,bef_nos,shp_nos,pstl_tw,localty,pstl_cd,frm_typ,shp_r_b,X,Y,Avg_EI,Prbbl_E,Pr_E_SL
6,MB00111,42.490000000000002,63.000000000000000,0.000000000000000,Seddon,Seddon,7285,BEF,1.000000000000000,174.119950938726450,-41.731385549999999,34.000000000000000,0.903573813929995,0.811428571428572
21,MB00159,25.940000000000001,50.000000000000000,14.000000000000000,Seddon,Seddon,7285,BEF,1.000000000000000,174.108472668717950,-41.715430049999995,34.000000000000000,0.903573813929995,0.811428571428572
39,MB00198,144.729999999999990,179.000000000000000,1032.000000000000000,Seddon,Seddon,7285,SHP,1.000000000000000,174.118285966014750,-41.678947149999999,31.000000000000000,0.831874379193967,0.802857142857143
69,MB00244,756.019999999999980,179.000000000000000,3500.000000000000000,Seddon,Seddon,7285,SNB,1.000000000000000,174.074692202543730,-41.730537700000006,30.000000000000000,0.799968900407550,0.800000000000000
73,MB00249,2265.199999999999800,945.000000000000000,4540.000000000000000,Blenheim,Seddon,7201,SNB,1.000000000000000,174.103571482460320,-41.852381649999998,28.500000000000000,0.743986935788267,0.760000000000000
108,MB00324,90.430000000000007,49.000000000000000,850.000000000000000,Auckland,Seddon,1071,SHP,1.000000000000000,174.109846570910090,-41.687474500000000,31.000000000000000,0.831874379193967,0.802857142857143
195,MB00567,37.200000000000003,0.000000000000000,200.000000000000000,Blenheim,Seddon,7201,SHP,1.000000000000000,174.137935306401000,-41.666453300000001,31.000000000000000,0.831874379193967,0.802857142857143
197,MB00574,443.500000000000000,124.000000000000000,175.000000000000000,Woodville,St Andrews,4997,BEF,1.000000000000000,174.128294590328890,-41.709992849999992,32.500000000000000,0.871945950264920,0.807142857142857
232,MB00723,95.840000000000003,118.000000000000000,55.000000000000000,Seddon,Seddon,7285,SNB,1.000000000000000,174.115820748696360,-41.721529849999996,32.500000000000000,0.871945950264920,0.807142857142857
240,MB00791,421.000000000000000,15.000000000000000,1570.000000000000000,Seddon,Seddon,7285,SHP,1.000000000000000,174.157630581084790,-41.693605750000003,34.333333333333336,0.909581578585309,0.812380952380952
319,MB01418,12.140000000000001,12.000000000000000,250.000000000000000,Seddon,Seddon,7285,SNB,1.000000000000000,174.142520199613440,-41.664205549999991,31.000000000000000,0.831874379193967,0.802857142857143
336,MB01748,173.620000000000000,0.000000000000000,2470.000000000000000, ,Blenheim, ,SHP,1.000000000000000,174.130479575570800,-41.775629199999997,32.000000000000000,0.859584107896262,0.805714285714286
418,MB02958,8.580000000000000,0.000000000000000,0.000000000000000,Seddon,Seddon,7285,BEF,1.000000000000000,174.126801056123670,-41.736814899999999,34.000000000000000,0.903573813929995,0.811428571428572
431,MB03038,49.909999999999997,189.000000000000000,0.000000000000000,Seddon,Seddon,7285,BEF,1.000000000000000,174.117660594732740,-41.705110849999997,34.000000000000000,0.903573813929995,0.811428571428572
440,MB03191,58.820000000000000,0.000000000000000,36.000000000000000,Seddon,Seddon,7285,SHP,1.000000000000000,174.146470732036050,-41.683303949999996,31.000000000000000,0.831874379193967,0.802857142857143
