farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,sheep_or_beef,X,Y,Avg_EI,Probability_Estab
MB00048,77.96,49,1200,Seddon,Seddon,7285,SNB,1,173.9576125107357,-41.7039235,33,0.8085714285714286
MB00062,27.58,30,0,Blenheim,Tua Marina,7273,BEF,1,173.97002705617376,-41.42698060000001,36,0.8171428571428572
MB00104,95.48,150,21,Blenheim,Koromiko,7273,BEF,1,173.98157372333714,-41.3397435,12.5,0.33333333333333326
MB00111,42.49,63,0,Seddon,Seddon,7285,BEF,1,174.11995093872645,-41.73138555,29,0.7733333333333333
MB00117,107.61,15,307,Seddon,Seddon,7285,SHP,1,173.98945363440774,-41.692859750000004,33,0.8085714285714286
MB00124,9.74,12,12,Blenheim,Blenheim,7275,BEF,1,173.74546950745008,-41.47469475,6,0.16
MB00125,56.72,255,0,Blenheim,Kaituna,7273,BEF,1,173.90007812737318,-41.44295650000001,27,0.72
MB00128,55.18,12,102,Renwick,Blenheim,7204,SHP,1,173.78648191156736,-41.461895,18,0.48
MB00129,82.3,43,0,Blenheim,Wairau Valley,7271,BEF,1,173.48660056067808,-41.57815289999999,17,0.4533333333333333
MB00133,235.56,34,1284,Ward,Ward,7248,SHP,1,174.12023217039513,-41.795265,40,0.8285714285714286
MB00134,924.88,465,2896,Blenheim,Renwick,7276,SNB,1,173.664963760366,-41.6124692,29.333333333333332,0.7822222222222222
MB00138,94.71,39,970,Feilding,Wairau Valley,4775,BEF,1,173.5302067603854,-41.555333499999996,17,0.4533333333333333
MB00140,22.8,6,0,Blenheim,Blenheim,7275,BEF,1,173.73640269686192,-41.47830125,6,0.16
MB00141,278.64,400,820,Blenheim,Blenheim,7275,SNB,1,173.48768676491466,-41.54119899999999,16.666666666666668,0.4444444444444444
MB00148,1560.62,675,3975,Blenheim,Blenheim,7274,SNB,1,173.95642324526537,-41.64806689999999,30.75,0.8021428571428572
MB00159,25.94,50,14,Seddon,Seddon,7285,BEF,1,174.10847266871795,-41.715430049999995,29,0.7733333333333333
MB00160,144.99,0,0,Picton,Seddon,7282,SHP,1,174.0743133060505,-41.6917643,32,0.8057142857142857
MB00167,23.25,0,200,Ward,Ward,7248,SHP,1,174.11010716068438,-41.7968269,33,0.8085714285714286
MB00171,631.85,61,815,Blenheim,Blenheim,7274,SNB,1,174.0737420740202,-41.6243548,31.8,0.8051428571428572
MB00175,245.7,62,0,Kaiapoi,Ward,7692,BEF,1,174.06910130074252,-41.85844224999999,35,0.8142857142857143
MB00178,3.18,8,0,Blenheim,Blenheim,7271,BEF,1,173.70424747609877,-41.5256676,35,0.8142857142857143
MB00179,616.73,150,3600,Blenheim,Blenheim,7201,SNB,1,173.98223991276745,-41.57245625,31.5,0.8042857142857144
MB00181,1301,436,3840,Blenheim,Renwick,7276,SNB,1,173.6160254409745,-41.62145025000001,27.333333333333332,0.7288888888888888
MB00183,1678,379,3034,Blenheim,Wairau Valley,7271,SNB,1,173.63539236228377,-41.57673164999999,24,0.64
MB00184,550.78,520,900,Ward,Taimate,7248,SNB,1,174.1632310634705,-41.78807259999999,35,0.8142857142857143
MB00185,1593.02,470,6050,Blenheim,Waihopai Valley,7276,SNB,1,173.69272494255847,-41.65197250000001,28.4,0.7573333333333332
MB00187,758.64,159,1928,Blenheim,Renwick,7275,SNB,1,173.67325914943052,-41.5193486,15.8,0.42133333333333334
MB00189,2805.86,592,9000,Blenheim,Blenheim,7274,SNB,1,173.80606301209139,-41.69172019999999,22.125,0.59
MB00190,299.7,270,650,Tuamarina,Hillersden,7246,SNB,1,173.31046250510147,-41.61460415,13,0.3466666666666666
MB00191,785,382,1830,Seddon,Seddon,7285,SNB,1,173.87921779990023,-41.760563,31,0.8028571428571429
MB00193,635.02,250,2025,Blenheim,Blenheim,7276,SHP,1,173.6573564520713,-41.66675945,29.8,0.7946666666666666
MB00195,2807.78,992,7226,Blenheim,Blenheim,7274,SNB,1,173.89919813676326,-41.59455555000001,29.4,0.7839999999999999
MB00198,144.73,179,1032,Seddon,Seddon,7285,SHP,1,174.11828596601475,-41.67894715,30,0.8
MB00200,615.44,96,2300,Ward,Ward,7248,SNB,1,174.14703260080114,-41.8579829,43.666666666666664,0.839047619047619
MB00201,1296.11,330,5990,Seddon,Seddon,7285,SNB,1,174.00582265448588,-41.761964049999996,30.5,0.8014285714285715
MB00202,95.12,10,0,Blenheim,Renwick,7276,BEF,1,173.5893597708279,-41.669728449999994,31,0.8028571428571429
MB00203,365.23,0,0,Blenheim,Blenheim,7272,SNB,1,173.82422064201776,-41.58369825,30,0.8
MB00207,2480.41,40,2760,Blenheim,Awatere Valley,7274,SHP,1,173.83198154874287,-41.802861750000005,29,0.7733333333333333
MB00208,1230,329,1868,Blenheim,Blenheim,7276,SNB,1,173.5854288427355,-41.7608285,10.75,0.2866666666666666
MB00209,2242.16,230,5600,Blenheim,Blenhiem,7272,SHP,1,173.84353613005015,-41.646934650000006,26,0.6933333333333332
MB00210,20.04,0,0,Blenheim,Renwick,7276,SNB,1,173.71516942546586,-41.6142351,29,0.7733333333333333
MB00213,936.06,130,1613,Blenheim,Ward,7273,SNB,1,174.0428884603365,-41.8601508,35.5,0.8157142857142857
MB00214,1875.99,900,11358,Ward,Seddon,7285,SNB,1,174.20385259298672,-41.79071705,37.333333333333336,0.820952380952381
MB00217,653.85,151,2750,Auckland,Blenheim,1011,SNB,1,173.5049151438293,-41.598178399999995,27,0.72
MB00220,2120.73,195,4230,Blenheim,Blenheim,7273,SNB,1,173.92287207240983,-41.804002249999996,28.6,0.7626666666666666
MB00222,248.43,0,0,Auckland,Blenheim,1140,BEF,1,173.4452179312135,-41.62010729999999,27.5,0.7333333333333333
MB00223,1070.54,285,3150,Blenheim,Blenheim,7271,SNB,1,173.45958287391642,-41.6235236,16.25,0.4333333333333333
MB00225,1697.11,434,3408,Blenheim,Blenheim,7274,SNB,1,173.92531319176686,-41.67986725,29.5,0.7866666666666666
MB00228,7239.71,124,4537,Blenheim,Blenheim,7240,SNB,1,173.76657396278637,-41.89676795,19.3,0.5146666666666667
MB00229,1677.56,604,3904,Ward,Ward,7248,SHP,1,174.04865851664312,-41.820464,35.666666666666664,0.8161904761904762
MB00230,878.6,383,2030,Blenheim,Bleheim,7274,SNB,1,174.01860606227768,-41.62381190000001,32,0.8057142857142857
MB00231,2098.81,239,3500,Blenheim,Blenheim,7240,SHP,1,173.79764499463658,-41.84342995,25.6,0.6826666666666666
MB00232,1038,210,3275,Seddon,Seddon,7285,SNB,1,174.19060295787193,-41.76615925,30.75,0.8021428571428572
MB00233,611,150,4000,Ward,Ward,7248,SHP,1,174.08426077317807,-41.8277518,41.5,0.8328571428571429
MB00234,11331.3,38,1556,Blenheim,Blenheim,7240,SNB,1,173.58358546021097,-41.827950749999985,8.75,0.2333333333333333
MB00235,8,10,0,Blenheim,Blenheim,7273,BEF,1,173.93753798438127,-41.366678199999996,10,0.26666666666666666
MB00236,354.57,90,1000,Seddon,Seddon,7285,SNB,1,173.90748268703464,-41.729513049999994,31,0.8028571428571429
MB00237,423.83,125,1216,Ward,Ward,7248,SNB,1,174.14403393631346,-41.8091438,44,0.8400000000000001
MB00238,648.22,200,2900,Seddon,Seddon,7285,SNB,1,174.05488461965587,-41.772104999999996,33,0.8085714285714286
MB00242,911.16,180,2750,Seddon,Ward,7285,SNB,1,174.0591866923723,-41.89327805,35.6,0.8160000000000001
MB00244,756.02,179,3500,Seddon,Seddon,7285,SNB,1,174.07469220254373,-41.730537700000006,32.333333333333336,0.8066666666666668
MB00246,4265.01,489,8700,Seddon,Seddon,7285,SNB,1,173.96637204743558,-41.816783799999996,29.666666666666668,0.7911111111111111
MB00247,554,163,1770,Ward,Ward,7248,SNB,1,174.0950214525576,-41.8177738,41.5,0.8328571428571429
MB00248,114.9,100,2000,Blenheim,Seddon,7273,SHP,1,173.88973196563953,-41.752491649999996,31,0.8028571428571429
MB00249,2265.2,945,4540,Blenheim,Seddon,7201,SNB,1,174.10357148246032,-41.85238165,36.5,0.8185714285714286
MB00250,2256.58,140,2293,NA,Blenheim,NA,SHP,1,173.96572061780049,-41.8670073,27,0.72
MB00251,7679.86,55,2530,Blenheim,Awatere Valley,7274,SNB,1,173.69714848944466,-41.92845369999999,10.444444444444445,0.2785185185185185
MB00254,611.04,84,2400,Blenheim,Renwick,7276,SNB,1,173.60791688114037,-41.67456215,30.5,0.8014285714285715
MB00258,130.85,80,0,Blenheim,Wairau Valley,7240,BEF,1,173.5686051934809,-41.55864005,21.5,0.5733333333333333
MB00260,2002.7,200,4100,Blenheim,Blenheim,7271,SHP,1,173.3291047797748,-41.69196265,10.2,0.27199999999999996
MB00272,413,103,0,Richmond,Nelson,7020,BEF,1,173.78872743917924,-40.92925545,8,0.21333333333333332
MB00275,91.86,57,702,Blenheim,Blenheim,7240,SNB,1,173.9010581918078,-41.540965099999994,30,0.8
MB00277,269.14,80,1600,Blenheim,Dashwood,7274,SNB,1,174.044263702087,-41.6131154,33,0.8085714285714286
MB00278,1054.22,85,4300,Blenheim,Blenheim,7276,SHP,1,173.64536873999756,-41.70063594999999,25,0.6666666666666665
MB00279,2045.81,292,5833,Auckland,Durville Island,1011,SNB,1,173.92726930125582,-40.755125500000005,14,0.3733333333333333
MB00285,1615,684,4500,Blenheim,Blenheim,7276,SNB,1,173.62050217415185,-41.64840695,28.5,0.76
MB00286,235.42,475,52,Havelock,Wairau Valley,7100,BEF,1,173.50726568180121,-41.54745755,11.333333333333334,0.3022222222222222
MB00293,975.71,200,1805,Nelson,Rai Valley,7040,SNB,1,173.7881010014596,-40.862385149999994,13,0.3466666666666666
MB00297,969.69,92,1830,Seddon,Ward,7285,SNB,1,174.07560278820404,-41.78321454999998,37.333333333333336,0.820952380952381
MB00298,645.16,63,1215,Blenheim,Blenheim,7273,SNB,1,173.92500500934403,-41.4288523,33.5,0.81
MB00299,1833.64,283,2520,Blenheim,Renwick,7276,SNB,1,173.61072397180715,-41.7337355,17.166666666666668,0.4577777777777778
MB00303,473.67,192,1100,Blenheim,Blenheim,7274,SNB,1,174.11870374590274,-41.58973415,36,0.8171428571428572
MB00304,357.43,83,2215,Blenheim,Blenheim,7271,SHP,1,173.5166070880903,-41.5642031,20.25,0.54
MB00306,1890,423,6160,Blenheim,Blenheim,7201,SNB,1,174.03430712525687,-41.92063540000001,34,0.8114285714285715
MB00316,1321.97,211,2320,Seddon,Seddon,7285,SNB,1,174.02736139651103,-41.76171195,31.333333333333332,0.8038095238095239
MB00317,12,0,138,Blenheim,Blenheim,7202,SHP,1,173.95534734887173,-41.48388955,32,0.8057142857142857
MB00318,4764.59,780,4700,Blenheim,Blenheim,7272,SNB,1,173.87201999045732,-41.675057499999994,28.375,0.7566666666666666
MB00320,7743.61,532,6300,Blenheim,Jordon,7240,SNB,1,173.92381979912585,-41.90634175,23.363636363636363,0.6230303030303029
MB00324,90.43,49,850,Auckland,Seddon,1071,SHP,1,174.1098465709101,-41.6874745,30,0.8
MB00326,2052.5,130,4000,Blenheim,Blenheim,7274,SNB,1,174.10648565873487,-41.5657074,33.5,0.81
MB00327,5492.37,236,5100,Blenheim,Blenheim,7274,SNB,1,173.57080734174605,-41.9432608,17.555555555555557,0.46814814814814815
MB00328,2711.33,245,4380,Blenheim,Seddon,7240,SNB,1,173.73469269026958,-41.79612830000001,9.166666666666666,0.24444444444444444
MB00329,13193,730,5550,Blenheim,Blenheim,7240,SNB,1,173.45887370124416,-41.8881935,6.666666666666667,0.17777777777777778
MB00330,385,132,1430,Blenheim,Blenheim,7202,SNB,1,174.20673578127634,-41.749341799999996,31.333333333333332,0.8038095238095239
MB00333,432.53,300,0,Blenheim,Blenheim,7271,BEF,1,173.19088717037937,-41.6663597,7.25,0.19333333333333333
MB00336,1306.72,176,5100,Blenheim,Blenheim,7274,SHP,1,173.79120987423374,-41.8228461,28,0.7466666666666666
MB00342,993.26,124,3000,Christchurch,Blenheim,8051,SNB,1,173.99872877205962,-41.606762350000004,31.25,0.8035714285714286
MB00343,1273.36,496,3850,Blenheim,Seddon,7274,SNB,1,174.0679649680719,-41.606944549999994,34.75,0.8135714285714286
MB00349,659.51,251,2347,Blenheim,Blenheim,7240,SNB,1,174.07635231933077,-41.90614674999999,35.6,0.8160000000000001
MB00353,2043.49,357,4180,Fairhall,Blenhiem,7272,SNB,1,173.82493124163415,-41.60465979999999,25.714285714285715,0.6857142857142857
MB00354,181.05,204,200,Seddon,Seddon,7285,SNB,1,173.9866915863797,-41.739659749999994,33,0.8085714285714286
MB00357,445.69,182,4910,Auckland,Blenheim,1142,SNB,1,173.30818233996573,-41.645574249999996,17.5,0.4666666666666666
MB00362,473.36,290,927,Blenheim,Blenheim,7272,SNB,1,173.7776114831242,-41.6128535,28.5,0.76
MB00364,190.5,17,350,Blenheim,Blenheim,7273,SHP,1,173.8837495936462,-41.4406091,29,0.7733333333333333
MB00365,1604,111,4800,Blenheim,Blenheim,7274,BEF,1,174.0128540512648,-41.58742465,32.75,0.8078571428571429
MB00366,2845.45,580,5470,Blenheim,Renwick,7276,SNB,1,173.76938964998396,-41.63255169999999,26.625,0.71
MB00371,1435.02,319,3690,Blenheim,Seddon,7240,SNB,1,173.8108821603448,-41.7757831,23,0.6133333333333333
MB00372,10.04,0,25,Seddon,Ward,7285,SHP,1,174.13346688073506,-41.8297398,44,0.8400000000000001
MB00373,1304.2,53,2200,Blenheim,Renwick,7276,SHP,1,173.683683947715,-41.691904949999994,23.833333333333332,0.6355555555555555
MB00374,2891.75,256,4000,Blenheim,Renwick,7276,BEF,1,173.44264243956218,-41.83806860000001,6.2,0.1653333333333333
MB00379,1822.22,265,4250,Blenheim,Blenheim,7271,SNB,1,173.24374134039903,-41.688823299999996,11,0.29333333333333333
