file,repository_path,upload_action,bytes,sha256,source_provenance
INApest.R,INApest INApestMeta core function code/INApest.R,overwrite,15523,21bd3ea5ea0240acf48b5573f944dea52355bd9aaa2a5cd2de42091a41a33118,Binary pathogen analytical package; InformationAcquisition candidate validated
INApestAnalytical.R,INApest INApestMeta core function code/INApestAnalytical.R,overwrite/add if absent,917734,49238e62a9f4c99445072d08356ca33081c60b37f1a4b268b328794990d163c5,Latest unified analytical source through vertebrate host + pathogen validation
INApestMeta.r,INApest INApestMeta core function code/INApestMeta.r,overwrite,76495,a6e21a1ff4d45689ac8ce779c85b99a76282eae6fd4c81065c04915c345d59c9,Meta pathogen analytical package; InformationAcquisition candidate
INApestMetaMultipleLandUse.r,INApest INApestMeta core function code/INApestMetaMultipleLandUse.r,overwrite,79262,9a160d59f383e259f85ac3f5ccbed7f83b65782d8785d3fd15176f790516c6e4,MLU pathogen analytical FIX1 source
INApestMetaParallel.r,INApest INApestMeta core function code/INApestMetaParallel.r,overwrite,77810,d58b36ffdbaeff2a55237914473e77beaacf3df4923cc9fe40201036ed1c8120,Consolidated PSOCK dependency fix source
INApestMetaParallelMultipleLandUse.r,INApest INApestMeta core function code/INApestMetaParallelMultipleLandUse.r,overwrite,82615,69f219b0114ae574ea18098e44578733184f9dabd925bb8991d44ce0502d3938,Consolidated PSOCK dependency fix source; same as MLU package
INApestMetaPoint.R,INApest INApestMeta core function code/INApestMetaPoint.R,overwrite/current,40341,9a14d8db7a3593d2cd3876369378b8135f963c86f700673f4fe4ab7beed9d90f,Point pathogen FIX1 package; current source unchanged from prior definitive handoff
INApestMetaPointParallel.R,INApest INApestMeta core function code/INApestMetaPointParallel.R,overwrite,7642,d6066f4e0a00bb65bbc398dc23a21bda4123365ea455f74e0cdcc441624314ae,Point pathogen FIX1; MetaPoint parallel argument fix
INApestMetaTransitionMatrix.r,INApest INApestMeta core function code/INApestMetaTransitionMatrix.r,overwrite/current,100115,82a2eed3c0d5111dc3b099ef50ef3892c00ad6e1ae5ff9ef8a980de4a44d1045,Transition-Matrix pathogen analytical package; current source unchanged from prior definitive handoff
INApestMetaTransitionMatrixParallel.r,INApest INApestMeta core function code/INApestMetaTransitionMatrixParallel.r,overwrite,91498,9c9fc885dcf569691cadaa9ad2b77701b6071e27811e7b31cbeaeb87119f824b,Consolidated PSOCK dependency fix source; same as TM package
INApestParallel.R,INApest INApestMeta core function code/INApestParallel.R,overwrite/current,5270,fa709fb90880719fa8ea1e96a8149cfde3de9436e16ebd32f75bf0b6c0d272a6,Prior definitive source; audited unchanged for specific PSOCK resolver issue
INApestPathogen.R,INApest INApestMeta core function code/INApestPathogen.R,overwrite/current,21319,95f2267fea08bee63f435cb60444e63d6653dd5302713be4351476616603ea7b,Common pathogen helper; identical across latest analytical packages
INApestPathogenTransitionMatrix.R,INApest INApestMeta core function code/INApestPathogenTransitionMatrix.R,overwrite/current,15989,42cf114b5b567b50256336b1b87d6f732ac94683cec69670d401aed03cac27c2,Prior definitive source; current helper unchanged
INApestPointPathogen.R,INApest INApestMeta core function code/INApestPointPathogen.R,overwrite/current,12333,4225be4f2ae89c2788f00cbf1433f28ec8194a9f7fc8e88a8721c318ee092d78,Common Point pathogen helper; unchanged
INApestPointTransitionMatrix.R,INApest INApestMeta core function code/INApestPointTransitionMatrix.R,overwrite,114180,bb0a56648951ce1465743368b85c3d00639f3d6927b779719b5641d4ea2b8d05,Latest vertebrate Point stochastic source; includes zero-offspring custom Birth FIX1
INApestPointTransitionMatrixParallel.R,INApest INApestMeta core function code/INApestPointTransitionMatrixParallel.R,overwrite/current,6743,068725a108388f17176faf02ff621b2463746cabce5246b148e6e5be9427ece8,Point pathogen FIX1; current parallel wrapper
