destination_file,selected_commented_source,frozen_executable_sha256,commented_sha256,validation_basis,selection_note
INApest.R,binary/INApest.R,7ac09e246dc2431ac02d6a3cc82a2af97c64846216cdb0b14072ae4b91f77ddb,2cf69aa19ea7bc947d449b8f62eb20217f35e4dab6a67125c0cb8850944b0308,Binary 254/254 PASS,Binary node engine
INApestParallel.R,binary/INApestParallel.R,14ffb352a6e8a9db8d5b72e8a8f67bdffca576a5bf90ddb57b006c830c479005,12366543526ed360fb4e397cde67204ab866dceeb35faf91148aedb5b7820f2b,Binary 254/254 PASS,Binary parallel wrapper
INApestPathogen.R,tm/INApestPathogen.R,83f2372bdc30bad25a45a1c126b5e02798e6d623964cc09e82fb54e7c802b13a,7dcd2059a92b2cdb8b9e090844624b298d97f0b25f61c4d2f6aa8baa94fa9955,Meta/MLU/TM and point/vertebrate validation,Canonical generic Binary/SIS/SIR/SEIR helper; includes validated InitialInfected clipping repair
INApestMeta.r,meta/INApestMeta.r,b5e6c507e8d34154826208d50ac382a84be1144506e4fbc1d534768871a9be10,871309df33e42f79936c09d02869c942e0fccc0ce545ad3b74269876c6d81109,Meta 252/252 PASS,Abundance-by-location engine
INApestMetaParallel.r,meta/INApestMetaParallel.r,f52a9047454756a7e478d58994c8429065df94bf32c6be019c32c1dd55a628a9,4ad1f67475ef07f6500e8c6276a4ac902791eb9b15fc2a818b8cd1c9c4e499b5,Meta 252/252 PASS,Parallel abundance-by-location engine
INApestMetaMultipleLandUse.r,mlu/INApestMetaMultipleLandUse.r,f369c91cb1da96c4a5ab3e95940fe16d13a55e813f3efe3a2456f186e8913aee,8dfcc73f4b39e0273ea8d33c9deb5b0d61d97fef154664ee2760d52fcd8704a4,MLU 285/285 PASS,Abundance by location x land use
INApestMetaParallelMultipleLandUse.r,mlu/INApestMetaParallelMultipleLandUse.r,15bdbfe024a493023c800ede660fc75e5b986bcfa1113fac002d8490faa4c8c0,3d92425dfe60b8e0715afc88b503793aeabe54e85dd774bf6d6d50a071679c68,MLU 285/285 PASS,Parallel location x land-use engine
INApestMetaTransitionMatrix.r,tm/INApestMetaTransitionMatrix.r,09f37160d6dbf0c435946a14eb359d12c48e6e1af922ff7a24e4fa2e354d03a0,1982c8f0103350c93251cb22afb252f48f836686a75fae034aad69b1350512bd,Transition Matrix 269/269 PASS,Location x life-stage engine
INApestMetaTransitionMatrixParallel.r,tm/INApestMetaTransitionMatrixParallel.r,4e18d64bc03381b7a3464c1788844ed7cbc3e7c1f23b024ac1312660a71e527d,f358d0c5eb2b899c97cecf8bbc615ab65ad9b12abd2881621525172108cc70ba,Transition Matrix 269/269 PASS,Parallel location x life-stage engine
INApestPathogenTransitionMatrix.R,tm/INApestPathogenTransitionMatrix.R,841c7dd729291378c41194c272ff5b4817a7eea8682f9f40e9df31d391a4f986,1983d87563917648cde90ae729880541243fc8d62cece1b11b4ca2f23d92397f,Transition Matrix and Vertebrate Node validation,Stage-structured pathogen helper
INApestMetaPoint.R,metapoint/INApestMetaPoint.R,4f31cae3e9bf55f971355aded1786522278f994e7207eb2ca1797e875bda6f90,3522f7e0b8c23924db045b5efb0550ef46ffff40795d36ef1d5cbd11a9df9af7,MetaPoint 99/99 PASS,Continuous-space abundance point engine
INApestMetaPointParallel.R,metapoint/INApestMetaPointParallel.R,d6066f4e0a00bb65bbc398dc23a21bda4123365ea455f74e0cdcc441624314ae,372c93180e6df6c1054cf5742936697f5542e2ded422939433c02d4b0b424c2f,MetaPoint 99/99 PASS,Parallel point engine
INApestPointPathogen.R,pointtm/INApestPointPathogen.R,4225be4f2ae89c2788f00cbf1433f28ec8194a9f7fc8e88a8721c318ee092d78,53d7244ff26ff13e9634026c196293f4656e17f8f95896e9c952947b8d699ccc,MetaPoint/Point TM/Vertebrate Point validation,Shared point-pathogen helper
INApestPointTransitionMatrix.R,pointtm/INApestPointTransitionMatrix.R,c3892ee288a41b1202cdc81de32745d4c670545c5315865b7175b513225e980a,7da34d470e722303e7abbc6c75b62ded36bcedae3a08fc68a0903a2a4daa4a97,Point TM 109/109 and Vertebrate Point 106/106 PASS,Stage-structured continuous-space engine including vertebrate extension
INApestPointTransitionMatrixParallel.R,pointtm/INApestPointTransitionMatrixParallel.R,068725a108388f17176faf02ff621b2463746cabce5246b148e6e5be9427ece8,32056f4777f0f3aaf443ac4412616a707700b5e3b2f4a33c85cc951a45095be6,Point TM 109/109 PASS,Parallel stage-structured point engine
INApestVertebrateNode.R,vertebrate_node/INApestVertebrateNode.R,d520b888704ab943e1e76e87d07bfc2be23a22b69755600a4ba395c1bcf16773,6921fb592e6e844ad91d7b55e6c0f09fa61c4446447f84f71a3bc1fe678bcc57,Vertebrate Node 146/146 PASS plus 77/77 development gates,Vertebrate specialist node engine
INApestVertebrateNodePathogen.R,vertebrate_node/INApestVertebrateNodePathogen.R,ae3a7703d0b8138fe524bee90beab2a0548a6455be96ea0d3195f063f7e6cd7f,4928d1d51068df5eeadfac920c6cf7d8da7c753b600815ab57ab218b754fb53a,Vertebrate Node 146/146 PASS plus 77/77 development gates,Vertebrate node pathogen integration
INApestVertebrateNodePathogenSupport.R,vertebrate_node/INApestVertebrateNodePathogenSupport.R,d3156f3d924165d5073d6f8b8d32654263442e8195ae0b0fbd20af334d867347,6ead406f166e8809fb35bc9ca7d242f535a2574004b9d3cf4992dddf95aeeb20,Vertebrate Node 146/146 PASS plus 77/77 development gates,Vertebrate node pathogen support helpers
