file,bytes,github_baseline_blob_sha,release_git_blob_sha,status_vs_github,release_note,sha256
INApest.R,13738,5ec97fa31e115c21b5dc1754917141b5e99dd1fa,5ec97fa31e115c21b5dc1754917141b5e99dd1fa,unchanged from current GitHub,,424f1ce9dc8f4acdd67068e1c2c527008c3923b995d281ef41d2a96da49b2a43
INApestMeta.r,69421,e1a662caa508f2740b5fdd3c8e1a51329f63fb2b,03a48c31d88ac53dd183715c879afd11f7e9e91b,release-modified,validated singleton-dimension correction retained from 25-Aug v2 bundle,6cfecff4c04ec61436f27c6129a1b761b68a413d7997732f6cceba3b790bdc8e
INApestMetaMultipleLandUse.r,71896,0add05970008a5aa3aa6fa8b86a6db09e48336c5,0add05970008a5aa3aa6fa8b86a6db09e48336c5,unchanged from current GitHub,,e7ec55ab69bfc33ab2d78b25c1266a52dd15def86fee5753cf9c47d89cbe689d
INApestMetaParallel.r,70390,f540abe197f0b96723000fc30e7d1ff1a53e1129,259aaac9a74db04a2d6c89a8faad26d1d8439ae4,release-modified,validated singleton-dimension correction retained; adds explicit Cores/Seed controls,b3c860288fd23def5108dbe8f1a6dc47513b31f7e177db1011fcc771555023ae
INApestMetaParallelMultipleLandUse.r,75096,d7054b1d9fcf663997b2cdccf1214617550c0ec9,90513e36f01f376b29635dfc8d4ed537f4b919f4,release-modified,"parallel fixes: scalar SD recycling, SpreadReductionSD wiring, singleton dimensions, Cores/Seed",019474f2c269bc8e455bd08d69237027a25fd7d5e29528cfb61e43b8a551c699
INApestMetaPoint.R,40341,04c8f44684fb007c6e1b1222486583f9ceb27c08,04c8f44684fb007c6e1b1222486583f9ceb27c08,unchanged from current GitHub,,9a14d8db7a3593d2cd3876369378b8135f963c86f700673f4fe4ab7beed9d90f
INApestMetaPointParallel.R,7630,1f3d968ea018975f880953dba61a600dac7ccd57,ab059bcf48c32ee7d9f5d6712b27469781f097fa,release-modified,parallel fix: avoid parLapply fun argument collision,ca26767566c36303a28207296ef9139d0b54990e52de8acea3745d6ad8edbc9e
INApestMetaTransitionMatrix.r,100115,15268a252e2dda955d74a90b149674e583b4454a,15268a252e2dda955d74a90b149674e583b4454a,unchanged from current GitHub,,82a2eed3c0d5111dc3b099ef50ef3892c00ad6e1ae5ff9ef8a980de4a44d1045
INApestMetaTransitionMatrixParallel.r,88740,0012a5da214d36d5798adeb970ef7b335cb3fc22,5128a42af7fa1e123f0654a00f63517baef64ca3,release-modified,"parallel fixes: pathogen helper export to PSOCK workers, Cores/Seed",c920b8e5cbc2d1a5ec574b2f175922a6087bfa6a9ee535bd2d48909d97fff293
INApestParallel.R,5270,33fa47c5edcb7dfbd1f125125feb53227ad4e1e4,31818f51cbad311d6659efcda161151405e1be45,release-modified,parallel fix: avoid parLapply fun argument collision,fa709fb90880719fa8ea1e96a8149cfde3de9436e16ebd32f75bf0b6c0d272a6
INApestPathogen.R,21319,a0d29ce3ce940b9bfc24d9a77270c5075b0b6dbb,a0d29ce3ce940b9bfc24d9a77270c5075b0b6dbb,unchanged from current GitHub,,95f2267fea08bee63f435cb60444e63d6653dd5302713be4351476616603ea7b
INApestPathogenTransitionMatrix.R,15989,20cd83dd8e76eb19aa7f4ef0c45bc8bdbcbe0b73,20cd83dd8e76eb19aa7f4ef0c45bc8bdbcbe0b73,unchanged from current GitHub,,42cf114b5b567b50256336b1b87d6f732ac94683cec69670d401aed03cac27c2
INApestPointPathogen.R,12333,b66375618614d075ee92f596dcee832077eb5869,b66375618614d075ee92f596dcee832077eb5869,unchanged from current GitHub,,4225be4f2ae89c2788f00cbf1433f28ec8194a9f7fc8e88a8721c318ee092d78
INApestPointTransitionMatrix.R,114017,28b0793758379ab6b67acbed5db9a6323e85a29f,c603fb08e41acf2a04221c2a1872ebb176fa3732,release-modified,serial/parallel inherited fix: zero-row pathogen event table guard,5cd807a465af2e4f6f19d6d84970aaedd3b3dbc601d193397af2b4b31ba9b9de
INApestPointTransitionMatrixParallel.R,6743,e3b215b88952f4052ea6f0b302dc32b8201463c3,776c66684bd9e687f8d4447b35f22f2206ebf46e,release-modified,parallel fix: avoid parLapply fun argument collision,068725a108388f17176faf02ff621b2463746cabce5246b148e6e5be9427ece8
