"mortality","fecundity_reduction","final_population_mean","final_population_sd","q05","q95","ratio_to_no_fecundity_reduction"
0,0,678,52.610174951948,579.95,768.6,1
0,0.25,470.216666666667,44.0770095215361,397.95,546.05,0.693534906588004
0,0.5,305.533333333333,22.4691627978471,270.95,343,0.450639134709931
0,0.75,185.316666666667,15.2876283942574,161.75,213,0.273328416912488
0,1,100,0,100,100,0.147492625368732
0.3,0,101.066666666667,24.6548146820383,59.95,137.05,1
0.3,0.25,60.55,15.5459134092794,38.85,82.0999999999999,0.599109498680739
0.3,0.5,37.3166666666667,10.6683305552536,22.95,57.05,0.369228232189974
0.3,0.75,22.4833333333333,7.63908696884085,12,37,0.222460422163588
0.3,1,11.3833333333333,3.52757499009369,6,17.05,0.112631926121372
0.6,0,3.15,2.89256791666892,0,7.05,1
0.6,0.25,2.46666666666667,2.3897143057857,0,7.05,0.783068783068783
0.6,0.5,1.43333333333333,1.77903674819056,0,6.05,0.455026455026455
0.6,0.75,0.9,1.02013624879312,0,2.05,0.285714285714286
0.6,1,0.516666666666667,0.650727537210172,0,1.05,0.164021164021164
