"model","parameterisation","final_mean","final_sd","status"
"INApestMeta","scalar",54.4,14.0819032804518,"PASS"
"INApestMeta","node_vector",69.8,11.4324100696222,"PASS"
"INApestMeta","node_by_timestep",61.6,7.30068489937759,"PASS"
"INApestMetaMultipleLandUse","scalar",194,23.7907545067406,"PASS"
"INApestMetaMultipleLandUse","landuse_vector",224.6,32.3001547983907,"PASS"
"INApestMetaMultipleLandUse","node_by_landuse",195.6,23.2873356140199,"PASS"
"INApestMetaMultipleLandUse","node_by_landuse_by_timestep",175.8,20.3273215156351,"PASS"
"INApestMetaTransitionMatrix","scalar",94.2,13.6088206689632,"PASS"
"INApestMetaTransitionMatrix","node_vector",104.4,10.1636607578175,"PASS"
"INApestMetaTransitionMatrix","stage_vector",86.8,16.9469761314519,"PASS"
"INApestMetaTransitionMatrix","node_by_timestep",78.4,10.2371871136558,"PASS"
"INApestMetaTransitionMatrix","node_by_stage_by_timestep",83.8,24.0249869927124,"PASS"
"INApestMetaTransitionMatrix","stage1_value_unused_check",0,0,"PASS"
"INApestMetaTransitionMatrix","ambiguous_node_stage_vector_error",NA,NA,"PASS"
