"mortality","pattern","FR_LU1","FR_LU2","FR_LU3","final_total_mean","node1_LU1_mean","node2_LU2_mean","node3_LU3_mean","node4_mixed_mean"
0,"none",0,0,0,768.183333333333,173.95,170.816666666667,165.25,258.166666666667
0,"uniform_half",0.5,0.5,0.5,337.95,76,76.1,74.4333333333333,111.416666666667
0,"landuse_gradient",0,0.5,0.9,397.716666666667,167.733333333333,76.1166666666667,32.1833333333333,121.683333333333
0,"uniform_strong",0.9,0.9,0.9,138.566666666667,31.2666666666667,32.2333333333333,33.3333333333333,41.7333333333333
0.3,"none",0,0,0,114.75,27.2166666666667,24.8833333333333,25.9166666666667,36.7333333333333
0.3,"uniform_half",0.5,0.5,0.5,42.7166666666667,9.48333333333333,9.75,9.98333333333333,13.5
0.3,"landuse_gradient",0,0.5,0.9,49.2166666666667,20.5166666666667,10.5333333333333,3.88333333333333,14.2833333333333
0.3,"uniform_strong",0.9,0.9,0.9,16.4333333333333,4.05,3.36666666666667,3.8,5.21666666666667
0.6,"none",0,0,0,4.85,0.6,0.916666666666667,0.933333333333333,2.4
0.6,"uniform_half",0.5,0.5,0.5,1.28333333333333,0.433333333333333,0.333333333333333,0.116666666666667,0.4
0.6,"landuse_gradient",0,0.5,0.9,1.83333333333333,0.933333333333333,0.166666666666667,0.0833333333333333,0.65
0.6,"uniform_strong",0.9,0.9,0.9,0.65,0.133333333333333,0.166666666666667,0.133333333333333,0.216666666666667
