"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,1,"death",2,NA,1500,1500,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,1,"stage_transition",1,NA,1460.24722517779,1541.71960030143,1,2,"transition_kernel",1460.24722517779,1541.71960030143,1,FALSE
1,2,"death",1,NA,1460.24722517779,1541.71960030143,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,2,"establishment",3,1,1508.99534140257,1335.32932422838,2,1,"SDD",1508.99534140257,1335.32932422838,1,FALSE
1,2,"establishment",4,1,1429.1118595378,1524.40984668607,2,1,"SDD",1429.1118595378,1524.40984668607,1,FALSE
1,2,"establishment",5,1,1427.24645923562,1450.90246435846,2,1,"SDD",1427.24645923562,1450.90246435846,1,FALSE
1,3,"death",3,1,1508.99534140257,1335.32932422838,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,3,"stage_transition",4,1,1474.25620741753,1516.39056316706,1,2,"transition_kernel",1474.25620741753,1516.39056316706,1,FALSE
1,4,"establishment",6,4,1541.93743230732,1713.01602685022,2,1,"SDD",1541.93743230732,1713.01602685022,1,FALSE
1,4,"establishment",7,4,1366.85328369518,1705.71009389257,2,1,"SDD",1366.85328369518,1705.71009389257,1,FALSE
1,4,"establishment",8,4,1297.53420078233,1483.23510400088,2,1,"SDD",1297.53420078233,1483.23510400088,1,FALSE
1,5,"stage_transition",7,4,1359.20336608888,1703.38898559712,1,2,"transition_kernel",1359.20336608888,1703.38898559712,1,FALSE
1,5,"stage_transition",8,4,1297.93623151475,1495.28074186295,1,2,"transition_kernel",1297.93623151475,1495.28074186295,1,FALSE
1,6,"death",6,4,1541.93743230732,1713.01602685022,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,6,"death",8,4,1297.93623151475,1495.28074186295,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,6,"establishment",9,4,1532.24119348203,1573.46508956019,2,1,"SDD",1532.24119348203,1573.46508956019,1,FALSE
1,6,"establishment",10,4,1453.63328363178,1541.98309166318,2,1,"SDD",1453.63328363178,1541.98309166318,1,FALSE
1,7,"stage_transition",5,1,1444.3313852092,1453.17304960665,1,2,"transition_kernel",1444.3313852092,1453.17304960665,1,FALSE
1,7,"stage_transition",9,4,1514.82197541196,1591.48941738446,1,2,"transition_kernel",1514.82197541196,1591.48941738446,1,FALSE
1,7,"establishment",11,4,1534.43767124716,1456.58409925797,2,1,"SDD",1534.43767124716,1456.58409925797,1,FALSE
1,7,"establishment",12,7,1380.18517655458,1656.75746471539,2,1,"SDD",1380.18517655458,1656.75746471539,1,FALSE
1,8,"death",10,4,1453.63328363178,1541.98309166318,1,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,8,"stage_transition",11,4,1512.70635318818,1583.36865557161,1,2,"transition_kernel",1512.70635318818,1583.36865557161,1,FALSE
1,8,"stage_transition",12,7,1455.80557687143,1655.88938098484,1,2,"transition_kernel",1455.80557687143,1655.88938098484,1,FALSE
1,8,"establishment",13,4,1463.94117023428,1610.71921945313,2,1,"SDD",1463.94117023428,1610.71921945313,1,FALSE
1,8,"establishment",14,5,1366.92148736488,1462.54078576133,2,1,"SDD",1366.92148736488,1462.54078576133,1,FALSE
1,8,"establishment",15,7,1237.36676302603,1694.93777610561,2,1,"SDD",1237.36676302603,1694.93777610561,1,FALSE
1,9,"death",7,4,1359.20336608888,1703.38898559712,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,9,"death",12,7,1455.80557687143,1655.88938098484,2,NA,"transition_matrix_mortality",NA,NA,NA,NA
1,9,"stage_transition",13,4,1433.50117644731,1748.94270948081,1,2,"transition_kernel",1433.50117644731,1748.94270948081,1,FALSE
1,9,"stage_transition",14,5,1329.87624723156,1488.47337762524,1,2,"transition_kernel",1329.87624723156,1488.47337762524,1,FALSE
1,9,"stage_transition",15,7,1155.65082252031,1692.59972239259,1,2,"transition_kernel",1155.65082252031,1692.59972239259,1,FALSE
1,9,"establishment",16,4,1667.85544230693,1604.07524105264,2,1,"SDD",1667.85544230693,1604.07524105264,1,FALSE
1,9,"establishment",17,5,1590.3274378687,1469.54991664828,2,1,"SDD",1590.3274378687,1469.54991664828,1,FALSE
1,9,"establishment",18,5,1509.47376944957,1298.38302212093,2,1,"SDD",1509.47376944957,1298.38302212093,1,FALSE
1,9,"establishment",19,5,1511.56347627385,1516.19672921017,2,1,"SDD",1511.56347627385,1516.19672921017,1,FALSE
1,9,"establishment",20,7,1337.67462367795,1907.74151997416,2,1,"SDD",1337.67462367795,1907.74151997416,1,FALSE
1,9,"establishment",21,7,1594.29957847484,1795.08278901275,2,1,"SDD",1594.29957847484,1795.08278901275,1,FALSE
1,9,"establishment",22,9,784.690765861101,839.683701728802,2,1,"SDD",784.690765861101,839.683701728802,1,FALSE
1,9,"establishment",23,9,1479.18721189032,1237.3491511134,2,1,"SDD",1479.18721189032,1237.3491511134,1,FALSE
1,9,"establishment",24,9,1863.31588721357,1178.05084502079,2,1,"SDD",1863.31588721357,1178.05084502079,1,FALSE
1,9,"establishment",25,11,1554.67802146486,1813.36879697323,2,1,"SDD",1554.67802146486,1813.36879697323,1,FALSE
1,10,"stage_transition",16,4,1648.26447156108,1574.47429117602,1,2,"transition_kernel",1648.26447156108,1574.47429117602,1,FALSE
1,10,"stage_transition",18,5,1523.86997877857,1195.65935414681,1,2,"transition_kernel",1523.86997877857,1195.65935414681,1,FALSE
1,10,"stage_transition",19,5,1540.24026513888,1459.58941649654,1,2,"transition_kernel",1540.24026513888,1459.58941649654,1,FALSE
