"perm","timestep","n_start","n_management_deaths","n_stage_deaths","n_stage_transitions","n_propagules","n_established","n_external","n_end","weighted_population","n_detected","n_new_detections","n_have_info","n_managing","stage1_start","stage1_end","stage2_start","stage2_end"
1,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
1,2,1,0,1,0,3,3,0,3,3,0,0,0,0,0,3,1,0
1,3,3,0,1,1,0,0,0,2,2,0,0,0,0,3,1,0,1
1,4,2,0,0,0,3,3,0,5,5,0,0,0,0,1,4,1,1
1,5,5,0,0,2,0,0,0,5,5,0,0,0,0,4,2,1,3
1,6,5,0,2,0,2,2,0,5,5,0,0,0,0,2,3,3,2
1,7,5,0,0,2,2,2,0,7,7,0,0,0,0,3,3,2,4
1,8,7,0,1,2,3,3,0,9,9,0,0,0,0,3,3,4,6
1,9,9,0,2,3,10,10,0,17,17,0,0,0,0,3,10,6,7
1,10,17,0,0,5,10,9,0,26,26,0,0,0,0,10,14,7,12
1,11,26,0,5,10,22,21,0,42,42,0,0,0,0,14,23,12,19
1,12,42,0,4,14,26,22,0,60,60,0,0,0,0,23,28,19,32
1,13,60,0,16,15,49,45,0,89,89,0,0,0,0,28,55,32,34
1,14,89,0,14,30,41,37,0,112,112,0,0,0,0,55,51,34,61
1,15,112,0,12,34,81,72,0,172,172,0,0,0,0,51,82,61,90
1,16,172,0,34,46,118,112,0,250,250,0,0,0,0,82,134,90,116
1,17,250,0,47,83,148,134,0,337,337,0,0,0,0,134,163,116,174
1,18,337,0,50,103,236,218,0,505,505,0,0,0,0,163,255,174,250
