farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HB00003,336.4,0,0,Whakatu,Otane,4161,DAI,176.69072074241473,-39.86857609999999,32.333333333333336,104,153,1,0.8083333333333335
HB00005,255,182,1866,Waipawa,Tikokino,4274,SNB,176.4436013596296,-39.74605435,13,0,0,1,0.325
HB00006,518.1,312,4040,Waipawa,Waipawa,4271,SNB,176.72880334997217,-40.03841,24.5,8,13,1,0.6125
HB00007,970,830,5520,Waipawa,Tikokino,4274,SNB,176.39446023026514,-39.7779948,12,0,0,1,0.3
HB00009,35.2,24,83,Waipawa,Tamamu,4240,BEF,176.67551915687903,-39.96421825,29,0,0,1,0.725
HB00010,143.8,137,1730,Waipukurau,Tikokino,4200,SNB,176.4275987681078,-39.82736015,18.25,0,0,1,0.45625
HB00013,1500,506,7750,Waipawa,Omakere,4271,SNB,176.84256975906226,-40.015122649999995,23.2,0,0,1,0.58
HB00016,476.9,356,1520,Havelock North,Elsthorpe,4295,SNB,176.81882689080527,-39.87907669999999,16.5,0,0,1,0.4125
HB00017,579.9,184,0,Takapau,Argyll East,4286,GRA,176.5146331178029,-39.90984815,24.5,0,10,1,0.6125
HB00018,299,204,1650,Havelock North,Elsthorpe,4295,SNB,176.80890567677693,-39.9267074,21.25,0,0,1,0.53125
HB00019,80,72,0,Otane,Otane,4276,BEF,176.61322543977727,-39.860640249999996,29,55,55,1,0.725
HB00020,912.2,635,1954,Waipawa,Waipawa,4274,SNB,176.43878602443908,-39.78013905,13,0,0,1,0.325
HB00021,303.5,260,3320,Otane,Elsthorpe,4202,SNB,176.78652019618124,-39.88834375,21,0,0,1,0.525
HB00023,303,132,1568,Otane,Elsthorpe,4277,SNB,176.78390261237672,-39.902029549999995,21,0,0,1,0.525
HB00024,1890.2,970,9050,Wellington,Elsthorpe,6145,SNB,176.7938329694843,-39.96090530000001,21.6,0,0,1,0.54
HB00025,2299.8,1841,13120,Otane,Waipawa,4277,SNB,176.77286627138596,-39.8377968,30,4,5,1,0.75
HB00026,1384.67,800,6000,Waipawa,Elsthorpe,4210,SHP,176.7455824727777,-39.867654849999994,28.666666666666668,44,56,1,0.7166666666666667
HB00027,1527,350,6800,Havelock North,Waipawa,4295,SNB,176.86838859489023,-39.9576663,21.5,0,0,1,0.5375
HB00028,708.9,850,3900,Havelock North,Elsthorpe,4295,SNB,176.8508511938794,-39.945948099999995,21.5,0,0,1,0.5375
HB00033,1123,447,5400,NA,Kairakau,NA,SNB,176.90516246781695,-39.9212413,14.25,0,0,1,0.35625
HB00034,490,313,2335,Havelock North,Elsthorpe,4295,SNB,176.91637083096242,-39.905981749999995,9,0,0,1,0.225
HB00035,937.1,322,6239,Waipawa,Tikokino,4273,SNB,176.4963804009971,-39.80863345,21.666666666666668,0,0,1,0.5416666666666667
HB00036,1399.7,762,7300,Waipukurau,Waipukurau,4284,SNB,176.67566212823664,-40.09669984999999,17.5,0,0,1,0.4375
HB00040,243,65,2045,Waipawa,Elsthorpe,4295,SHP,176.81800628352923,-39.891243949999996,12,0,0,1,0.3
HB00041,1306,434,7632,Havelock North,Kairakau Beach,4295,SNB,176.87397968475778,-39.98856885,22.25,0,0,1,0.55625
HB00044,478.1,267,3300,Waipawa,Waipawa,4271,SNB,176.84436001115284,-40.03889160000001,20,0,0,1,0.5
HB00045,530,322,3300,Waipawa,Otane,4276,SNB,176.57376426037257,-39.82319835,21.25,0,0,1,0.53125
HB00046,3.02,0,30,Waipawa,Waipawa,4210,SHP,176.57781437487196,-39.938882199999995,30,0,0,1,0.75
HB00047,632.5,0,5040,Havelock North,Elsthorpe,4295,SNB,176.88454574982848,-40.0032691,25,0,0,1,0.625
HB00048,2534.1,2712,32000,Hastings,Omakere,4172,SNB,176.6490430567007,-39.920384549999994,24.88888888888889,0,4,1,0.6222222222222222
HB00049,839,94,1800,Waipawa,Tamamu,4271,BEF,176.67296203750823,-39.982944599999996,29.5,0,0,1,0.7375
HB00050,1165.3,543,6550,Waipawa,Omakere,4271,SNB,176.71531876883478,-40.06984645,20,0,0,1,0.5
HB00051,363.7,318,2070,Waipawa,Waipawa,4274,SNB,176.39476896400012,-39.747701,8,0,0,1,0.2
HB00052,5054,2270,15540,Waipawa,Tikokino,4274,SNB,176.30035996264397,-39.78207085,7.25,0,0,1,0.18125
HB00053,1490.1,569,10500,Waipawa,Omakere,4210,SNB,176.8339720044896,-40.057114549999994,22.2,0,0,1,0.555
HB00054,546.5,64,1500,Havelock North,Elsthorpe,4295,SNB,176.8839333105836,-39.96356939999999,16.75,0,0,1,0.41875
HB00055,1001.2,612,5280,Waipukurau,Waipawa,4284,SNB,176.81839143057334,-40.0813238,19.75,0,0,1,0.49375
HB00056,1461,868,8100,Waipawa,Tikokino,4274,SNB,176.37734856098353,-39.80397105,13.666666666666666,0,0,1,0.3416666666666666
HB00057,161.3,78,1500,Waipawa,Waipawa,4274,SNB,176.4278268653278,-39.80439285,15.5,0,0,1,0.3875
HB00058,804.8,596,4940,Waipawa,Omakere,4271,SNB,176.76213375618028,-40.070169899999996,19,0,0,1,0.475
HB00059,1965,1645,9800,Waipawa,Omakere,4271,SNB,176.72045953696454,-40.14369405,18.5,0,0,1,0.4625
HB00060,605.5,411,4150,Waipawa,Waipawa,4271,SHP,176.82736102188034,-40.15355255,22,0,0,1,0.55
HB00061,640.7,868,700,Waipawa,Tikokino,4274,SNB,176.3420009884265,-39.8258494,12.666666666666666,0,0,1,0.31666666666666665
HB00062,2290,1285,12100,Waipawa,Omakere,4271,SNB,176.8080033323069,-40.134321549999996,21.2,0,0,1,0.53
HB00063,866.9,701,5536,Waipawa,Waipawa,4271,SNB,176.84973722266722,-40.10109085,23.5,0,0,1,0.5875
HB00064,465.88,650,246,Waipawa,Waipawa,4271,BEF,176.85471444748748,-40.08005385,21.5,0,0,1,0.5375
HB00065,1095,520,7700,Waipawa,Waipawa,4271,SHP,176.8060498322505,-40.0556201,21,0,0,1,0.525
HB00066,1334,1793,3330,Waipawa,Tikokino,4274,SNB,176.47676545134192,-39.79227445,17,0,0,1,0.425
HB00068,602.6,231,3041,Waipawa,Waipawa,4170,SNB,176.73355128300787,-39.997232499999996,26.666666666666668,0,0,1,0.6666666666666667
