Id,x,y,ha,humans,growers,N0,EI,EI_2050,EI_2090,gens,gens_2050,gens_2090,hosts,hosts_veg100,hosts_all100
373,538.1,1429.0,2067.9,4.7,0,0,45.9,50.7,59.7,9.17,10.09,12.28,194,194,206794.0789
612,521.3,1423.4,2536.9,0.0,0,0,43.2,48.5,56.6,9.42,10.35,12.54,226,226,253687.1369
613,525.5,1423.4,3997.1,0.4,0,0,42.6,47.7,56.4,9.38,10.3,12.5,1346,1346,399711.943
614,529.7,1423.4,2523.5,0.2,0,0,35.7,42.0,51.7,8.52,9.44,11.61,469,469,252345.2282
615,533.9,1423.4,2508.4,0.0,0,0,41.2,45.9,55.7,9.32,10.25,12.44,51,51,250839.5293
616,538.1,1423.4,3146.9,7.0,0,0,41.7,46.7,56.3,9.25,10.18,12.37,2,2,314693.5447
617,542.3,1423.4,3221.9,3.0,0,0,44.6,49.5,58.4,9.49,10.42,12.62,127,127,322188.6221
618,546.5,1423.4,6609.8,1.2,0,0,44.1,47.0,56.0,9.29,10.02,12.22,219,219,660978.6954
857,529.7,1417.9,3708.6,8.4,0,0,35.4,41.4,50.7,9.24,10.17,12.36,1038,1038,370859.3557
858,533.9,1417.9,3340.3,168.7,0,0,35.0,40.8,50.6,9.32,10.25,12.44,1598,1598,334030.6132
1101,533.9,1412.3,3098.3,0.0,0,0,34.8,41.2,50.6,9.08,10.01,12.2,3355,3355,309827.788
1102,538.1,1412.3,4118.3,35.3,0,0,38.0,43.7,53.4,9.14,10.06,12.26,3552,3552,411834.663
1345,538.1,1406.8,2924.8,0.5,0,0,38.7,44.8,53.9,9.26,10.23,12.42,1642,1642,292475.8681
1346,542.3,1406.8,3243.2,16.4,0,0,38.2,44.6,53.9,9.08,10.04,12.24,1786,1786,324321.6342
1347,546.5,1406.8,3936.4,81.7,0,0,40.4,46.6,55.7,9.29,10.26,12.46,806,806,393638.2386
1589,542.3,1401.2,3284.0,7.2,0,0,37.6,44.5,53.8,8.87,9.83,12.02,428,428,328401.6477
1590,546.5,1401.2,2539.8,96.8,0,0,40.7,47.1,56.2,9.23,10.19,12.29,755,755,253977.4923
1591,550.7,1401.2,2084.1,27.3,0,0,42.4,48.5,57.5,9.4,10.37,12.47,1234,1234,208406.9968
1833,546.5,1395.6,3544.5,0.0,0,0,40.5,46.9,55.9,9.05,10,12.1,482,482,354447.1762
1834,550.7,1395.6,2538.3,92.8,0,0,41.4,47.6,56.9,9.13,10.09,12.19,6222,6222,253826.6659
1835,554.9,1395.6,1950.3,58.4,0,0,42.7,48.6,57.9,9.34,10.3,12.41,6274,2045,195026.2708
2077,550.7,1390.1,3291.0,48.5,0,0,42.2,48.1,57.5,9.12,10.08,12.18,9647,7485,329104.8177
2078,554.9,1390.1,2436.2,130.3,0,0,42.7,48.4,58.1,9.25,10.21,12.31,15715,11089,243623.2421
2079,559.2,1390.1,1813.6,29.4,0,0,43.1,48.7,58.4,9.31,10.27,12.38,794,794,181356.2678
2320,550.7,1384.5,1538.6,1.4,0,0,43.3,49.1,58.4,9.27,10.23,12.33,3797,3797,153858.6709
2321,554.9,1384.5,2535.3,20.4,0,0,42.8,48.5,58.3,9.09,10.05,12.15,15937,15937,253525.0573
2322,559.2,1384.5,2542.4,644.0,0,0,42.9,48.5,58.4,9.24,10.2,12.3,43534,19536,254242.5625
2564,554.9,1379.0,1895.0,4.9,0,0,43.5,49.3,58.9,9.21,10.17,12.27,10791,10791,189500.9786
2565,559.2,1379.0,2533.7,55.1,0,0,41.7,47.7,57.8,9.04,9.99,12.09,61352,25864,253373.3363
2566,563.4,1379.0,2485.7,88.8,0,0,43.0,49.3,58.7,9.21,10.21,12.31,185047,19015,248571.3321
2569,576.0,1379.0,3267.6,37.6,0,0,43.6,50.5,59.0,9.15,10.1,12.21,2088,2088,326764.0299
2570,580.2,1379.0,5651.7,699.0,0,0,42.4,49.5,57.7,9.18,10.09,12.2,14720,14720,565168.7854
2808,559.2,1373.4,2512.2,0.8,0,0,42.1,48.4,58.3,9.01,10.01,12.11,131,131,251219.3849
2809,563.4,1373.4,2532.2,108.8,0,0,41.6,48.3,57.9,9.12,10.12,12.22,52899,6603,253222.3881
2810,567.6,1373.4,3927.5,213.4,0,0,40.4,47.5,56.9,9.12,10.12,12.22,9970,9970,392752.4498
3052,563.4,1367.8,3654.1,204.7,0,0,41.1,48.0,57.8,8.94,9.9,11.98,34976,34976,365409.3344
3056,580.2,1367.8,4706.6,2227.5,0,0,31.7,41.7,51.2,9.03,9.94,12.04,2551,2551,470663.5544
3060,597.0,1367.8,4027.2,64.5,0,0,32.7,41.3,52.7,8.62,9.58,11.81,2034,2034,402716.7448
3061,601.2,1367.8,2476.8,52.0,0,0,19.9,25.1,39.1,8.15,9.1,11.3,1196,1196,247676.2337
3062,605.4,1367.8,2356.1,152.2,0,0,20.7,26.6,41.0,8.27,9.23,11.44,1783,1783,235613.1247
3295,563.4,1362.3,2178.6,189.4,0,0,41.2,48.2,57.9,9.03,9.99,12.07,6805,6805,217858.2282
3296,567.6,1362.3,2557.0,333.0,0,0,40.3,47.7,57.2,9.1,10.06,12.14,183587,21126,255695.0606
3297,571.8,1362.3,2117.4,780.1,0,0,38.8,46.7,56.3,9,9.96,12.07,4751,1986,211740.9691
3298,576.0,1362.3,2700.4,322.0,0,0,32.0,41.8,51.9,8.96,9.92,12.02,2105,2105,270040.8302
3299,580.2,1362.3,2529.2,103.0,0,0,25.5,35.4,46.5,8.78,9.69,11.78,2362,2362,252924.1889
3300,584.4,1362.3,4211.7,336.8,0,0,20.8,26.9,39.2,8.96,9.87,11.96,9391,9391,421167.7879
3302,592.8,1362.3,4005.6,137.2,0,0,16.7,18.9,25.9,8.59,9.56,11.79,8205,8205,400556.0101
3303,597.0,1362.3,2342.0,224.2,0,0,17.5,19.4,28.2,8.9,9.87,12.11,32664,18333,234200.2712
3304,601.2,1362.3,2529.4,87.1,0,0,17.4,19.2,28.2,8.62,9.59,11.82,5076,5076,252937.1436
3305,605.4,1362.3,2529.4,98.6,0,0,16.9,18.9,27.9,8.19,9.14,11.34,1388,1388,252940.5726
3306,609.6,1362.3,1936.7,220.8,0,0,16.1,18.0,25.4,7.98,8.93,11.12,257,257,193667.4425
3307,613.8,1362.3,1612.0,147.7,0,0,20.4,26.0,38.8,8.95,9.93,12.16,929,929,161201.4115
3308,618.0,1362.3,2549.8,102.1,0,0,18.5,21.4,32.7,7.88,8.29,10.43,776,776,254981.057
3309,622.2,1362.3,2173.5,382.0,0,0,24.4,30.0,40.7,8.58,9,11.18,736,736,217346.1422
3539,567.6,1356.7,3358.8,164.0,0,0,36.3,44.3,54.3,9.04,10,12.08,3073,3073,335876.0206
3540,571.8,1356.7,2527.7,731.3,0,0,33.4,42.3,52.6,8.79,9.73,11.84,2326,2326,252769.7004
3541,576.0,1356.7,2527.7,104.7,0,0,25.1,34.8,46.6,8.41,9.34,11.42,1631,1631,252770.385
3542,580.2,1356.7,2527.7,124.9,0,0,17.4,21.1,31.2,8.4,9.32,11.4,2006,2006,252772.1012
3543,584.4,1356.7,2527.7,53.1,0,0,15.9,18.4,23.5,8.68,9.61,11.73,871,871,252773.8844
3544,588.6,1356.7,2955.5,171.2,0,0,15.2,17.3,20.8,8.52,9.45,11.58,1192,1192,295547.7175
3545,592.8,1356.7,2527.8,196.1,0,0,14.8,16.8,20.2,8.36,9.29,11.44,1684,1684,252778.9304
3546,597.0,1356.7,2527.8,43.5,0,0,14.4,16.3,19.8,7.93,8.86,11.01,1956,1956,252781.7621
3547,601.2,1356.7,2527.9,59.9,0,0,15.3,17.1,21.6,8.26,9.21,11.41,940,940,252785.0722
3548,605.4,1356.7,2969.4,361.8,0,0,16.5,18.2,24.5,8.7,9.67,11.9,2041,2041,296942.7478
3550,613.8,1356.7,2864.0,260.3,0,0,15.6,17.6,23.1,8.67,9.79,12.02,878,878,286401.1384
3551,618.0,1356.7,2528.0,75.9,0,0,14.1,16.3,21.1,7.62,8.7,10.88,1783,1783,252800.9893
3552,622.2,1356.7,2528.1,92.9,0,0,15.6,18.3,26.4,8.01,9.11,11.3,1661,1661,252805.3829
3553,626.4,1356.7,1766.5,41.0,0,0,23.0,32.7,43.2,8.44,9.45,11.58,1501,1501,176646.1469
3781,563.4,1351.2,1663.2,37.8,0,0,40.9,48.0,57.3,9.04,10,12.08,1491,1491,166323.9314
3782,567.6,1351.2,2526.2,201.2,0,0,36.7,44.4,54.2,9.03,9.99,12.07,3239,3239,252616.3751
3783,571.8,1351.2,2526.2,5198.0,0,0,28.5,38.0,49.2,8.91,9.87,11.98,2549,2549,252617.7283
3784,576.0,1351.2,2526.2,333.2,0,0,22.6,30.5,43.4,8.71,9.65,11.74,2170,2170,252618.4343
3785,580.2,1351.2,2526.2,340.6,0,0,16.0,19.1,26.1,8.58,9.5,11.57,3562,3562,252620.2109
3786,584.4,1351.2,2526.2,209.2,0,0,14.3,16.7,19.7,8.24,9.14,11.21,4495,2442,252622.064
3787,588.6,1351.2,2526.2,102.0,0,0,13.7,15.7,18.5,8.05,8.94,11.02,3041,3041,252624.3567
3788,592.8,1351.2,2526.3,70.8,0,0,13.7,15.7,18.6,8.08,8.98,11.09,1559,1559,252627.1986
3789,597.0,1351.2,2526.3,53.2,0,0,13.3,15.2,18.5,7.62,8.52,10.62,1449,1449,252630.022
3790,601.2,1351.2,2526.3,50.7,0,0,15.1,16.9,21.4,8.38,9.31,11.47,1137,1137,252633.3321
3791,605.4,1351.2,2526.4,20.9,0,0,15.5,17.4,22.7,8.36,9.32,11.53,1299,1299,252636.6581
3792,609.6,1351.2,2926.6,160.7,0,0,13.6,15.5,18.8,8.25,9.36,11.58,1612,1612,292655.55
3793,613.8,1351.2,2526.4,374.4,0,0,11.4,13.3,16.0,7.65,8.74,10.92,940,940,252644.4842
3794,618.0,1351.2,2526.5,152.1,0,0,12.1,13.9,16.6,8.15,9.26,11.46,4128,2306,252649.0732
3795,622.2,1351.2,2526.5,57.1,0,0,12.8,14.7,18.7,7.72,8.71,10.8,1300,1300,252653.5289
3796,626.4,1351.2,2404.9,213.2,0,0,16.9,21.8,36.0,8.3,9.32,11.44,4520,4520,240490.1642
3797,630.6,1351.2,1391.3,76.3,0,0,24.7,35.1,48.0,8.76,9.79,11.93,629,629,139132.8833
3798,634.8,1351.2,1495.3,97.5,0,0,31.4,41.7,52.5,8.73,9.75,11.89,1221,1221,149525.9112
3799,639.0,1351.2,1182.3,16.7,0,0,33.1,43.4,53.7,8.6,9.68,11.88,1203,1203,118227.2021
4022,554.9,1345.6,1849.9,408.2,0,0,40.5,47.3,56.3,8.41,9.37,11.44,618,618,184988.0183
4024,563.4,1345.6,2796.9,1007.0,1,0,40.5,47.3,56.1,8.86,9.82,11.9,10376,10376,279688.1115
4025,567.6,1345.6,2524.6,204.2,0,0,28.0,36.3,47.6,7.41,8.34,10.36,16572,8799,252464.0363
4026,571.8,1345.6,2524.7,30.3,0,0,18.1,23.4,37.5,7.34,8.27,10.3,775,775,252465.4119
4027,576.0,1345.6,2524.7,227.6,0,0,17.3,20.7,31.8,8.61,9.55,11.65,1451,1451,252466.1134
4028,580.2,1345.6,2524.7,126.2,0,0,14.9,17.9,23.9,8.11,9,11.03,1596,1596,252467.8998
4029,584.4,1345.6,2524.7,44.3,0,0,12.7,15.0,18.0,7.38,8.24,10.25,2284,667,252469.7358
4030,588.6,1345.6,2524.7,2.6,0,0,12.0,13.9,17.2,6.95,7.78,9.78,214,214,252472.0136
4031,592.8,1345.6,2524.7,3.7,0,0,12.9,14.9,18.2,7.45,8.32,10.36,47,47,252474.923
4032,597.0,1345.6,2524.8,14.0,0,0,13.2,15.2,18.5,7.7,8.58,10.65,2038,2038,252477.7346
4033,601.2,1345.6,2524.8,0.2,0,0,14.5,16.5,21.2,8.12,9.01,11.12,247,247,252481.0824
4034,605.4,1345.6,2524.8,1.9,0,0,12.0,14.1,17.4,7.19,8.28,10.44,882,882,252484.3891
4035,609.6,1345.6,2524.9,3.6,0,0,11.6,13.7,16.6,7.64,8.74,10.92,273,273,252488.2644
4036,613.8,1345.6,2524.9,63.1,0,0,8.8,10.7,13.6,7.27,8.35,10.51,654,654,252492.1364
4037,618.0,1345.6,2525.0,111.9,0,0,7.2,8.9,11.5,7.36,8.35,10.43,2749,2749,252496.6953
4038,622.2,1345.6,2525.0,892.6,0,0,11.7,13.4,16.6,7.91,8.92,11.02,36159,24257,252501.1078
4039,626.4,1345.6,2525.1,1050.8,0,0,15.0,16.9,26.4,8.4,9.42,11.55,64411,55370,252506.1068
4040,630.6,1345.6,2578.4,921.4,0,0,19.2,26.9,43.1,8.63,9.65,11.79,9804,9804,257843.9411
4042,639.0,1345.6,1890.0,78.0,0,0,24.7,36.9,49.6,8.82,9.9,12.12,2417,2417,189000.478
4266,559.2,1340.0,3262.7,4.8,0,0,38.6,45.8,54.8,8.06,9.03,11.08,177,177,326271.2093
4267,563.4,1340.0,2523.1,21.1,0,0,33.5,41.3,51.2,7.54,8.5,10.53,73,73,252310.2812
4268,567.6,1340.0,2523.1,83.2,0,0,19.7,25.9,40.7,6.92,7.8,9.73,392,392,252311.4147
4269,571.8,1340.0,2523.1,32.3,0,0,21.3,27.2,41.2,8.46,9.36,11.37,3249,3249,252312.7908
4270,576.0,1340.0,2523.1,66.0,0,0,18.8,23.9,36.6,8.31,9.18,11.18,1406,1406,252313.5192
4271,580.2,1340.0,2523.2,32.1,0,0,12.5,15.0,19.5,6.76,7.6,9.54,569,569,252315.364
4272,584.4,1340.0,2523.2,0.0,0,0,10.7,13.0,16.5,6.31,7.12,9.05,0,0,252317.1807
4273,588.6,1340.0,2523.2,0.4,0,0,12.0,13.9,17.4,6.91,7.72,9.69,311,311,252319.4866
4274,592.8,1340.0,2945.4,123.0,0,0,16.0,18.3,29.0,8.54,9.37,11.43,1624,1624,294543.6717
4275,597.0,1340.0,2523.3,31.4,0,0,15.2,17.5,25.9,8.45,9.27,11.33,1308,1308,252325.1955
4276,601.2,1340.0,2523.3,0.4,0,0,12.3,14.1,17.7,7.13,7.93,9.93,28,28,252328.554
4277,605.4,1340.0,2523.3,0.0,0,0,12.8,14.9,18.6,7.89,8.85,10.81,0,0,252331.9205
4278,609.6,1340.0,2523.4,0.0,0,0,10.3,12.3,15.3,7.35,8.29,10.22,0,0,252335.73
4279,613.8,1340.0,2523.4,37.9,0,0,6.9,8.7,11.7,6.86,7.78,9.68,484,484,252339.6372
4280,618.0,1340.0,2523.4,131.1,0,0,6.4,8.0,11.0,7.13,8.11,10.18,2316,2316,252344.11
4281,622.2,1340.0,2523.5,243.4,0,0,10.0,11.7,14.7,7.77,8.77,10.87,21545,8935,252348.5345
4282,626.4,1340.0,2523.5,2850.4,5,0,14.8,16.7,26.0,8.36,9.37,11.5,70652,45883,252353.4521
4283,630.6,1340.0,2173.1,4460.1,0,0,16.8,19.4,36.3,8.55,9.58,11.71,48869,20819,217314.2574
4284,634.8,1340.0,2561.0,631.8,0,0,21.1,31.0,47.0,8.73,9.76,11.9,3685,3685,256104.3963
4510,563.4,1334.5,2288.3,17.1,0,0,40.5,47.3,55.8,8.36,9.28,11.28,768,768,228827.3949
4511,567.6,1334.5,2469.0,166.4,0,0,24.1,31.5,43.8,8.43,9.35,11.35,1703,1703,246901.799
4512,571.8,1334.5,2501.8,33.4,0,0,25.2,32.6,44.5,8.73,9.64,11.65,1177,1177,250183.9082
4513,576.0,1334.5,2521.6,12.2,0,0,21.1,27.3,40.4,8.3,9.18,11.18,1594,1594,252160.8861
4514,580.2,1334.5,2521.6,105.0,0,0,16.9,20.5,32.7,8.18,9.05,11.05,3584,3584,252162.6816
4515,584.4,1334.5,2521.6,32.7,0,0,14.9,17.7,26.7,8.03,8.87,10.87,2080,2080,252164.5403
4516,588.6,1334.5,3290.4,100.8,0,0,18.1,22.2,37.5,8.4,9.23,11.25,3920,3920,329040.7261
4518,597.0,1334.5,3668.1,72.7,0,0,24.3,33.5,46.9,8.36,9.16,11.19,2933,2933,366812.0049
4519,601.2,1334.5,2521.8,41.8,0,0,17.6,23.5,40.9,7.36,8.13,10.11,376,376,252175.7938
4520,605.4,1334.5,2521.8,131.5,0,0,16.2,19.3,36.5,8.1,9.06,11.04,733,733,252179.1583
4521,609.6,1334.5,2521.8,77.6,0,0,13.9,16.4,24.9,8.08,9.05,11.02,1094,1094,252182.9803
4522,613.8,1334.5,2521.9,45.7,0,0,10.2,12.3,15.6,7.26,8.19,10.12,1514,1514,252186.8618
4523,618.0,1334.5,2521.9,172.8,0,0,8.3,10.3,13.5,6.95,7.93,9.99,1959,1959,252191.2852
4524,622.2,1334.5,2522.0,205.5,0,0,11.2,13.1,16.4,7.61,8.61,10.7,1929,1929,252195.7274
4525,626.4,1334.5,2522.0,662.5,0,0,14.2,16.1,23.9,8.16,9.17,11.3,32580,32580,252200.5773
